intervalStart,kpDecimal,kpClass,ap
2026-08-22T00:00:00.000Z,1.33,1+,5
2026-08-22T03:00:00.000Z,0.67,1-,3
2026-08-22T06:00:00.000Z,0.67,1-,3
2026-08-22T09:00:00.000Z,1.33,1+,5
2026-08-22T12:00:00.000Z,1.33,1+,5
2026-08-22T15:00:00.000Z,1,1o,4
2026-08-22T18:00:00.000Z,1,1o,4
2026-08-22T21:00:00.000Z,0.67,1-,3
2026-08-23T00:00:00.000Z,0.67,1-,3
2026-08-23T03:00:00.000Z,2,2o,7
2026-08-23T06:00:00.000Z,1.67,2-,6
2026-08-23T09:00:00.000Z,2,2o,7
2026-08-23T12:00:00.000Z,2,2o,7
2026-08-23T15:00:00.000Z,0.67,1-,3
2026-08-23T18:00:00.000Z,1.67,2-,6
2026-08-23T21:00:00.000Z,1.67,2-,6
2026-08-24T00:00:00.000Z,2.33,2+,9
2026-08-24T03:00:00.000Z,1.67,2-,6
2026-08-24T06:00:00.000Z,1,1o,4
2026-08-24T09:00:00.000Z,0.67,1-,3
2026-08-24T12:00:00.000Z,1.33,1+,5
2026-08-24T15:00:00.000Z,0.33,0+,2
2026-08-24T18:00:00.000Z,1.33,1+,5
2026-08-24T21:00:00.000Z,3,3o,15
2026-08-25T00:00:00.000Z,1.33,1+,5
2026-08-25T03:00:00.000Z,1.67,2-,6
2026-08-25T06:00:00.000Z,1.33,1+,5
2026-08-25T09:00:00.000Z,1,1o,4
2026-08-25T12:00:00.000Z,1,1o,4
2026-08-25T15:00:00.000Z,1,1o,4
2026-08-25T18:00:00.000Z,0.33,0+,2
2026-08-25T21:00:00.000Z,0.33,0+,2
2026-08-26T00:00:00.000Z,0.33,0+,2
2026-08-26T03:00:00.000Z,0.67,1-,3
2026-08-26T06:00:00.000Z,0.67,1-,3
2026-08-26T09:00:00.000Z,1,1o,4
2026-08-26T12:00:00.000Z,1,1o,4
2026-08-26T15:00:00.000Z,0.67,1-,3
2026-08-26T18:00:00.000Z,0.67,1-,3
2026-08-26T21:00:00.000Z,0.67,1-,3
2026-08-27T00:00:00.000Z,1.33,1+,5
2026-08-27T03:00:00.000Z,0.67,1-,3
2026-08-27T06:00:00.000Z,0.67,1-,3
2026-08-27T09:00:00.000Z,0.67,1-,3
2026-08-27T12:00:00.000Z,1,1o,4
2026-08-27T15:00:00.000Z,0.67,1-,3
2026-08-27T18:00:00.000Z,0.33,0+,2
2026-08-27T21:00:00.000Z,1.33,1+,5
2026-08-28T00:00:00.000Z,1,1o,4
2026-08-28T03:00:00.000Z,0.67,1-,3
2026-08-28T06:00:00.000Z,1,1o,4
2026-08-28T09:00:00.000Z,1.67,2-,6
2026-08-28T12:00:00.000Z,3.67,4-,22
2026-08-28T15:00:00.000Z,3.33,3+,18
2026-08-28T18:00:00.000Z,4.33,4+,32
2026-08-28T21:00:00.000Z,4.33,4+,32
2026-08-29T00:00:00.000Z,4.33,4+,32
2026-08-29T03:00:00.000Z,3.33,3+,18
2026-08-29T06:00:00.000Z,3.67,4-,22
2026-08-29T09:00:00.000Z,3,3o,15
2026-08-29T12:00:00.000Z,2.33,2+,9
2026-08-29T15:00:00.000Z,2.33,2+,9
2026-08-29T18:00:00.000Z,3.67,4-,22
2026-08-29T21:00:00.000Z,2,2o,7
2026-08-30T00:00:00.000Z,3.67,4-,22
2026-08-30T03:00:00.000Z,3.67,4-,22
2026-08-30T06:00:00.000Z,3.33,3+,18
2026-08-30T09:00:00.000Z,3.67,4-,22
