"norad_id","epoch","bstar","mean_motion","mean_motion_dot","eccentricity","perigee_km","apogee_km","semi_major_axis_km","source_group"
2150,"2026-08-22 14:08:40.12+00",0.00026928,12.640343,5.149e-05,0.1382235,330.33978,2482.3342,7784.474,"spacetrack"
2150,"2026-08-23 20:32:29.934+00",0.00029,12.640473,5.55e-05,0.1382244,330.28647,2482.28,7784.4204,"spacetrack"
2150,"2026-08-24 23:08:20.669+00",0.00030035,12.640601,5.752e-05,0.1382239,330.24518,2482.2166,7784.3677,"spacetrack"
2150,"2026-08-25 20:02:13.1+00",0.00032001,12.640706,6.133e-05,0.1382254,330.1963,2482.1792,7784.3247,"spacetrack"
2150,"2026-08-26 20:44:03.817+00",0.00030998,12.640826,5.945e-05,0.1382249,330.15768,2482.1191,7784.2754,"spacetrack"
2150,"2026-08-27 21:25:54.218+00",0.00034067,12.640951,6.537e-05,0.1382233,330.12604,2482.0483,7784.224,"spacetrack"
2150,"2026-08-28 20:13:45.051+00",0.00034854,12.641054,6.693e-05,0.1382245,330.08023,2482.0095,7784.1816,"spacetrack"
2150,"2026-08-29 20:55:34.604+00",0.00039507,12.641206,7.59e-05,0.1382226,330.04163,2481.9243,7784.12,"spacetrack"
2389,"2026-08-22 13:52:42.729+00",0.00040827,13.468942,9.15e-05,0.1004847,333.90616,1833.5085,7461.844,"spacetrack"
2389,"2026-08-23 21:57:58.029+00",0.00044867,13.469207,0.00010049,0.1004693,333.93323,1833.2861,7461.7466,"spacetrack"
2389,"2026-08-24 21:08:24.452+00",0.00043331,13.469393,9.701e-05,0.1004575,333.95932,1833.1223,7461.6777,"spacetrack"
2389,"2026-08-25 22:05:47.073+00",0.00048413,13.46961,0.00010833,0.1004438,333.98935,1832.9318,7461.5977,"spacetrack"
2389,"2026-08-26 21:16:11.184+00",0.00042942,13.469802,9.607e-05,0.1004324,334.01062,1832.7687,7461.527,"spacetrack"
2389,"2026-08-27 20:26:34.326+00",0.00048744,13.469992,0.00010898,0.10042,334.04007,1832.599,7461.4565,"spacetrack"
2389,"2026-08-28 19:36:56.492+00",0.00049169,13.470176,0.0001099,0.100409,334.06122,1832.4424,7461.3887,"spacetrack"
2389,"2026-08-29 22:21:11.475+00",0.00049639,13.470413,0.0001109,0.1003947,334.0891,1832.2393,7461.3013,"spacetrack"
4221,"2026-08-22 13:55:41.658+00",0.00047411,15.415781,0.00039674,0.0193457,309.52164,573.38104,6819.5884,"spacetrack"
4221,"2026-08-23 21:04:49.248+00",0.00046974,15.416784,0.00039395,0.0193171,309.42636,572.8843,6819.2925,"spacetrack"
4221,"2026-08-24 20:26:35.059+00",0.00046043,15.417565,0.00038663,0.019291,309.37863,572.4717,6819.062,"spacetrack"
4221,"2026-08-25 21:21:43.224+00",0.00047022,15.418404,0.00039577,0.0192692,309.2849,572.0711,6818.815,"spacetrack"
4221,"2026-08-26 22:16:46.669+00",0.00045359,15.419211,0.00038221,0.0192423,309.23477,571.64496,6818.5767,"spacetrack"
4221,"2026-08-27 21:38:19.677+00",0.00049472,15.419938,0.00041799,0.019221,309.16977,571.28125,6818.3623,"spacetrack"
4221,"2026-08-28 20:59:48.737+00",0.00050186,15.420673,0.00042477,0.0191987,309.10913,570.9082,6818.1455,"spacetrack"
4221,"2026-08-29 21:54:38.64+00",0.00055421,15.421671,0.00047072,0.019171,309.00958,570.4197,6817.8516,"spacetrack"
5118,"2026-08-22 14:19:16.668+00",0.00040529,15.76348,0.00064443,0.0013189,331.93634,349.65955,6718.935,"spacetrack"
5118,"2026-08-23 20:47:21.964+00",0.00045426,15.765228,0.00072839,0.0013053,331.53168,349.07083,6718.4385,"spacetrack"
5118,"2026-08-24 21:09:41.424+00",0.00042368,15.766612,0.00068307,0.001284,331.28214,348.53406,6718.045,"spacetrack"
5118,"2026-08-25 21:31:53.045+00",0.00045272,15.768054,0.00073473,0.0012555,331.0646,347.9326,6717.6357,"spacetrack"
5118,"2026-08-26 20:22:34.325+00",0.00045911,15.769349,0.00074938,0.0012379,330.8154,347.446,6717.2676,"spacetrack"
5118,"2026-08-27 20:44:30.978+00",0.00047691,15.770714,0.00078326,0.0012136,330.59155,346.89474,6716.8804,"spacetrack"
5118,"2026-08-28 21:06:20.096+00",0.00053522,15.772147,0.00088537,0.0011865,330.36713,346.30533,6716.473,"spacetrack"
5118,"2026-08-29 21:28:00.139+00",0.00048069,15.773903,0.0008005,0.0011653,330.01172,345.66397,6715.9746,"spacetrack"
7003,"2026-08-22 14:03:15.821+00",0.00038977,15.848133,0.00106954,0.0065848,272.7654,360.93573,6694.988,"spacetrack"
7003,"2026-08-23 20:21:10.402+00",0.00040189,15.850974,0.00111813,0.0065643,272.10776,359.99307,6694.1875,"spacetrack"
7003,"2026-08-24 20:35:15.604+00",0.00038817,15.853373,0.00109245,0.006549,271.53955,359.21118,6693.512,"spacetrack"
7003,"2026-08-25 20:49:07.689+00",0.0003933,15.855747,0.00111994,0.0065357,270.96445,358.44928,6692.8438,"spacetrack"
7003,"2026-08-26 21:02:47.022+00",0.00040545,15.858041,0.00116784,0.0065228,270.40973,357.71347,6692.1987,"spacetrack"
7003,"2026-08-27 22:47:03.63+00",0.00043981,15.860537,0.00128246,0.0065012,269.85687,356.8624,6691.4966,"spacetrack"
7003,"2026-08-28 19:58:38.098+00",0.00044429,15.862649,0.00130857,0.0064803,269.40634,356.12445,6690.9023,"spacetrack"
7003,"2026-08-29 18:40:49.342+00",0.00049314,15.865522,0.00147331,0.0064567,268.76172,355.1536,6690.0947,"spacetrack"
12139,"2026-08-22 10:47:56.306+00",0.00040144,15.166209,0.0001696,0.0241538,349.54083,682.583,6894.1987,"spacetrack"
12139,"2026-08-23 04:13:00.248+00",0.00038942,15.166461,0.00016455,0.0241409,349.55524,682.4159,6894.1226,"spacetrack"
12139,"2026-08-24 10:18:04.795+00",0.00041068,15.166896,0.00017353,0.024117,349.59155,682.11633,6893.9907,"spacetrack"
12139,"2026-08-25 16:23:06.49+00",0.00038793,15.167314,0.00016385,0.0240852,349.68713,681.76733,6893.8643,"spacetrack"
12139,"2026-08-26 16:08:05.947+00",0.0003698,15.16762,0.00015613,0.0240597,349.77234,681.4965,6893.7715,"spacetrack"
12139,"2026-08-27 15:53:03.931+00",0.00038357,15.167908,0.00016188,0.0240383,349.83478,681.25964,6893.684,"spacetrack"
12139,"2026-08-28 20:22:59.748+00",0.0003556,15.168209,0.00015005,0.0240156,349.90228,681.0098,6893.5933,"spacetrack"
12139,"2026-08-29 21:42:54.124+00",0.00038565,15.1685505,0.00016272,0.0239972,349.92822,680.7771,6893.4897,"spacetrack"
16326,"2026-08-22 01:26:42.613+00",0.00059561,15.990346,0.00286112,0.0002663,275.32364,278.86823,6655.233,"spacetrack"
16326,"2026-08-23 20:59:13.094+00",0.00062494,16.000957,0.0031858,0.0002353,272.58807,275.71866,6652.2905,"spacetrack"
16326,"2026-08-24 01:29:22.633+00",0.00058889,16.002075,0.00302146,0.000231,272.30676,275.37997,6651.9805,"spacetrack"
16326,"2026-08-25 13:29:56.871+00",0.00059907,16.011414,0.00324112,0.0001796,270.06238,272.45084,6649.3936,"spacetrack"
16326,"2026-08-26 01:29:52.322+00",0.00049704,16.014166,0.00273355,0.0002366,268.92206,272.06818,6648.6323,"spacetrack"
16326,"2026-08-27 13:28:48.727+00",0.00056866,16.023355,0.00329616,9.64e-05,267.31213,268.5935,6646.09,"spacetrack"
16326,"2026-08-28 13:27:25.472+00",0.00052823,16.029482,0.00317394,6.55e-05,265.82413,266.69452,6644.3965,"spacetrack"
16326,"2026-08-29 23:54:17.796+00",0.00059929,16.041204,0.00385771,5.18e-05,262.67776,263.3658,6641.1587,"spacetrack"
16719,"2026-08-22 02:37:12.108+00",0.00038174,15.732948,0.00052869,0.0004365,346.55112,352.42432,6727.6245,"spacetrack"
16719,"2026-08-23 12:12:04.066+00",0.00037164,15.734362,0.00051773,0.0004158,346.28763,351.882,6727.2217,"spacetrack"
